,23,23,456,44,88,,,567
,23,67676,5475,66,5645,,,679789
,4324534,67878,678,99,78978,,,567868
,6456,78978,657567,124234,4564,,,1248224
,5688,34534645,678678,534645,344543,,,2496448
,97897,666,456456,58677,43645,,,4992896
,8089,999,3453453,456456,56756,,,9985792
,890,234,34534534,45667678,45645,,,9985792
,6797,345,567567,345345,34534,,,9985792
,890,456,768,567,345,,,4438129.77777778
,,,,,,,,
SUM,4451287,34751900,40355632,47187811,614743,,,
AVERAGE,445128.7,3475190,4035563.2,4718781.1,61474.3,,,
MIN,23,23,456,44,88,,,
MAX,4324534,34534645,34534534,45667678,344543,,,
COUNT,10,10,10,10,10,,,
